Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-10-14T16:02:53+0200,Trade,SELL_TO_CLOSE,./ESZ2 E3AV2 221017P3450,Future Option,Sold 2 /ESZ2 E3AV2 10/17/22 Put 3450.00 @ 1.35,135.00,2,67.50,0.00,-1.74,1,"./ESZ2 E3AV2 ",/ESZ2,10/17/22,3450.0,PUT,237581153
2022-10-14T15:16:53+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AV2 221017C3900,Future Option,Bought 2 /ESZ2 E3AV2 10/17/22 Call 3900.00 @ 0.9,-90.00,2,-45.00,-5.00,-1.74,1,"./ESZ2 E3AV2 ",/ESZ2,10/17/22,3900.0,CALL,237542941
2022-10-14T15:16:53+0200,Trade,BUY_TO_OPEN,./ESZ2 E3AV2 221017P3450,Future Option,Bought 2 /ESZ2 E3AV2 10/17/22 Put 3450.00 @ 1.05,-105.00,2,-52.50,-5.00,-1.74,1,"./ESZ2 E3AV2 ",/ESZ2,10/17/22,3450.0,PUT,237542941
2022-10-14T03:48:17+0200,Trade,SELL_TO_CLOSE,./ESZ2 EW2V2 221014C3845,Future Option,Sold 1 /ESZ2 EW2V2 10/14/22 Call 3845.00 @ 1.05,52.50,1,52.50,0.00,-0.87,1,"./ESZ2 EW2V2 ",/ESZ2,10/14/22,3845.0,CALL,237521416
2022-10-13T15:53:19+0200,Trade,SELL_TO_CLOSE,./ESZ2 E2DV2 221013C3610,Future Option,Sold 1 /ESZ2 E2DV2 10/13/22 Call 3610.00 @ 1.5,75.00,1,75.00,0.00,-0.87,1,"./ESZ2 E2DV2 ",/ESZ2,10/13/22,3610.0,CALL,237286175
2022-10-13T15:53:19+0200,Trade,SELL_TO_CLOSE,./ESZ2 E2DV2 221013P3420,Future Option,Sold 1 /ESZ2 E2DV2 10/13/22 Put 3420.00 @ 0.5,25.00,1,25.00,0.00,-0.87,1,"./ESZ2 E2DV2 ",/ESZ2,10/13/22,3420.0,PUT,237286175
2022-10-13T15:16:33+0200,Trade,BUY_TO_OPEN,./ESZ2 E2DV2 221013C3610,Future Option,Bought 1 /ESZ2 E2DV2 10/13/22 Call 3610.00 @ 0.75,-37.50,1,-37.50,-2.50,-0.87,1,"./ESZ2 E2DV2 ",/ESZ2,10/13/22,3610.0,CALL,237286041
2022-10-13T15:16:33+0200,Trade,BUY_TO_OPEN,./ESZ2 E2DV2 221013P3420,Future Option,Bought 1 /ESZ2 E2DV2 10/13/22 Put 3420.00 @ 1.0,-50.00,1,-50.00,-2.50,-0.87,1,"./ESZ2 E2DV2 ",/ESZ2,10/13/22,3420.0,PUT,237286041
2022-10-13T14:34:21+0200,Trade,SELL_TO_CLOSE,./ESZ2 EW2V2 221014P3355,Future Option,Sold 1 /ESZ2 EW2V2 10/14/22 Put 3355.00 @ 1.5,75.00,1,75.00,0.00,-0.87,1,"./ESZ2 EW2V2 ",/ESZ2,10/14/22,3355.0,PUT,237276608
2022-10-13T14:16:13+0200,Trade,BUY_TO_OPEN,./ESZ2 EW2V2 221014C3845,Future Option,Bought 1 /ESZ2 EW2V2 10/14/22 Call 3845.00 @ 1.05,-52.50,1,-52.50,-2.50,-0.87,1,"./ESZ2 EW2V2 ",/ESZ2,10/14/22,3845.0,CALL,237273609
2022-10-13T14:16:13+0200,Trade,BUY_TO_OPEN,./ESZ2 EW2V2 221014P3355,Future Option,Bought 1 /ESZ2 EW2V2 10/14/22 Put 3355.00 @ 1.0,-50.00,1,-50.00,-2.50,-0.87,1,"./ESZ2 EW2V2 ",/ESZ2,10/14/22,3355.0,PUT,237273609
2022-10-11T17:48:09+0200,Trade,SELL_TO_CLOSE,./ESZ2 E2CV2 221012C3750,Future Option,Sold 1 /ESZ2 E2CV2 10/12/22 Call 3750.00 @ 1.0,50.00,1,50.00,0.00,-0.87,1,"./ESZ2 E2CV2 ",/ESZ2,10/12/22,3750.0,CALL,236983049
2022-10-11T15:35:03+0200,Trade,SELL_TO_CLOSE,./ESZ2 E2CV2 221012P3470,Future Option,Sold 1 /ESZ2 E2CV2 10/12/22 Put 3470.00 @ 1.75,87.50,1,87.50,0.00,-0.87,1,"./ESZ2 E2CV2 ",/ESZ2,10/12/22,3470.0,PUT,236915942
2022-10-11T15:18:38+0200,Trade,BUY_TO_OPEN,./ESZ2 E2CV2 221012C3750,Future Option,Bought 1 /ESZ2 E2CV2 10/12/22 Call 3750.00 @ 1.0,-50.00,1,-50.00,-2.50,-0.87,1,"./ESZ2 E2CV2 ",/ESZ2,10/12/22,3750.0,CALL,236909062
2022-10-11T15:18:38+0200,Trade,BUY_TO_OPEN,./ESZ2 E2CV2 221012P3470,Future Option,Bought 1 /ESZ2 E2CV2 10/12/22 Put 3470.00 @ 1.15,-57.50,1,-57.50,-2.50,-0.87,1,"./ESZ2 E2CV2 ",/ESZ2,10/12/22,3470.0,PUT,236909062
2022-10-10T23:00:00+0200,Receive Deliver,,./ESZ2 E2AV2 221010C3925,Future Option,Removal of option due to expiration,0.00,1,0.00,--,0.00,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3925.0,CALL,
